x,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MATERIAL,INVERT,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,YTD_COST,LIFECYCLE_COST,CONDITION,CONDITIONDATE,FLOW_WEIR,LAST_INSP_DATE,INSTALL_DATE,MAKE,MODEL,MANUFACTURER,VENDOR,I_I_SOURCE,I_I_QUANTITY,CONDITION_NOTATION,CRE_DATE,MOD_DATE,ENABLED,Latitude,Longitude
1,3,Gate,1001897194,,1291911486,200,,,In Service,4714-5340-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190502,20190502,1,49.210883,-122.863631
2,3,Gate,1000794035,,1699607926,200,Ductile Iron,,In Service,,2006,Surrey,,,Final AB,,,,,,,,,,,,,,,,20060726,20191028,1,49.146276,-122.75136
3,3,Gate,1001699677,,1216111346,75,Cast Iron,,In Service,4711-9020-00,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.208381,-122.884581
4,3,Gate,1001792867,,1233011501,150,Cast Iron,0.76,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141029,20160708,1,49.211165,-122.879906
5,0,Ball,1000141200,27861,1237011296,100,PVC Plastic,0.27,Abandoned,4515,1977,Surrey,,LINE BW-E,Final AB,,,,,,,,,,,,,,,,20051114,20190410,0,49.207465,-122.8788
6,3,Gate,1001408874,,1226511429,100,,0,In Service,4706-4520-00,2012,Surrey,,Normally Closed,Final AB,,,,,,,,,,,,,,,,20120419,20160803,1,49.209879,-122.881714
7,0,Ball,1000141326,27967,1238311438,100,Ductile Iron,0.49,Abandoned,4515,1977,Surrey,,LINE BW-C,Final AB,,,,,,,,,,,,,,,,20051117,20160913,0,49.210036,-122.878458
8,0,Ball,1001941239,,1668603131,50,,,In Service,7815-0005-00,2017,Surrey,,,Final AB,,,,,,,,,,,,,,,,20170724,20180206,1,49.059525,-122.760342
9,2,Expansion Joint,1001793036,,1237511533,150,Polyethylene,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141029,20141029,1,49.211744,-122.878658
10,0,Ball,1000141213,27629,1206710356,100,Ductile Iron,0.97,In Service,4516,1978,Surrey,,LINE BSW-H,Final AB,,,,,,,,,,,,,,,,20051102,,1,49.190455,-122.887215
11,0,Ball,1000141361,28143,1277611344,75,Ductile Iron,0.99,Abandoned,4515,1978,Surrey,,LINE BE-A,Final AB,,,,,,,,,,,,,,,,20051124,20190501,0,49.208308,-122.867604
12,8,LPS Lateral Gate,1001794982,,1269311268,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141103,20160708,1,49.206951,-122.869886
13,2,Expansion Joint,1001699749,,1216111347,75,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.208391,-122.884597
14,3,Gate,1001897240,,1300911586,75,,,Proposed,4715-5070-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20161118,,0,49.212688,-122.861159
15,3,Gate,1001195736,,1687207799,75,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110418,20151201,1,49.143983,-122.754796
16,3,Gate,1001897294,,1288411585,50,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190503,20190503,1,49.212683,-122.864608
17,0,Ball,1000141176,27503,1202710525,200,Ductile Iron,1.31,In Service,C-4122,1989,Surrey,,,Final AB,,,,,,,,,,,,,,,,20051029,,1,49.19351,-122.888321
18,0,Ball,1000829037,,1224810818,,,,In Service,C-4122,,,,,,,,,,,,,,,,,,,,,20070726,20160212,1,49.198814,-122.882195
19,2,Expansion Joint,1001794915,,1273611268,150,Polyethylene,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141103,20160706,1,49.206945,-122.868714
20,8,LPS Lateral Gate,1002183348,,1286311585,38,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190503,,1,49.212683,-122.86519
21,0,Ball,1000141348,28076,1265111374,75,Ductile Iron,0.89,Abandoned,4515,1977,Surrey,,LINE BW-A,Final AB,,,,,,,,,,,,,,,,20051122,20160708,0,49.208861,-122.871043
22,3,Gate,1000141299,22363,1372209833,150,Ductile Iron,,In Service,4793-327,1999,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011220,,1,49.18094,-122.841552
23,0,Ball,1000141271,27649,1279111423,150,Ductile Iron,0.5,Abandoned,4515,1978,Surrey,,,Final AB,,,,,,,,,,,,,,,,20051102,20190723,0,49.209738,-122.86719
24,8,LPS Lateral Gate,1002183882,,1283711255,38,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190506,,1,49.206705,-122.865927
25,3,Gate,1001211645,,1675107678,75,Ductile Iron,1.7,In Service,7805-0393-00,2012,Surrey,,,Final AB,,,,,,,,,,,,,,,,20130118,20130118,1,49.141809,-122.758137
26,3,Gate,1000824134,,1711308031,75,Ductile Iron,,In Service,7800-0179-00,2007,Surrey,,,Final AB,,,,,,,,,,,,,,,,20070502,20070502,1,49.148169,-122.748133
27,0,Ball,1000141290,27763,1300111593,75,Ductile Iron,0.91,Abandoned,4515,1978,Surrey,,LINE BE-G SEE ALSO S-001-070,Final AB,,,,,,,,,,,,,,,,20051107,20190503,0,49.212821,-122.861384
28,3,Gate,1001810790,,1191610715,250,Cast Iron,0.35,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150302,20150302,1,49.196961,-122.891367
